"","text"
"4898","sound osmconnectivity goodbass thumping effects nice  love  "
"4899","best services  best headphones value  moneytnx boot tnx amazon "
"4900","bluetooth range    steps  mobilesound quality   good "
"4901","bluetooth range    steps  mobilesound quality   good "
"4902","due  heavy bass effects  original sound   music "
"4903","nice product "
"4904","bluetuth   meter range bs return product  vry cheap product  "
"4905"," far good "
"4906","nice blouetooth "
"4907","worth buying  "
"4908","poor noise cancellationvery much disturbance "
"4909","good quality power back  also  good "
"4910","amazing beat sound value  moneygreat "
"4911","lenght  wire   long remaining   good "
"4912","awesome sound qualitybest built qualityand bass  amazing loved  "
"4913","todayit  stop playing   right ear plug found  help  claim warranty "
"4914","worth buy   bucks sounds quality adjustment noise clearance   good "
"4915","    nice product   price worth  every penny good sound quality "
"4916","best sound quality  loud  clear sound great battery backup  overall worth  "
"4917","   good   sound quality  really good  battery life good  "
"4918","sound  build quality   product  nicethats   like  best "
"4919","bluetooth range   lowand voice quality  clear  speak   phone "
"4920","base    good   want   boat headfoneand sonud  also   loud "
"4921"," connectivity issues    overall   good  backup  audio "
"4922","awesome productif u  thinking    go  itgot   sale  "
"4923","everything want "
"4924","sometimes  disconnected automatically  playing    long time "
"4925","sound quality  better  love  "
"4926","one   best bluetooth earphones "
"4927","nice  balance sound output "
"4928"," nice  bought   lightning deal     best   price range "
"4929","  really osm  love  best sound quality nice battery life thx boat "
"4930","great product  boat "
"4931","sound quality  good "
"4932","good product   price better  jbl "
"4933","connecting  two mobile vth good clearity "
"4934","overall  good package  value  money "
"4935","good quality  sound superb bass perfect "
"4936","earphone   working properly "
"4937","dont buy go   better one   budget wont last long "
"4938","worst earphones ive hadbluetooth connectivity   poor "
"4939","close ur eyes  buy  withou thinking best sound ever  k "
"4940","google assistant    incoming call vibration feature "
"4941","worst earphones ive hadbluetooth connectivity   poor "
"4942","close ur eyes  buy  withou thinking best sound ever  k "
"4943","google assistant    incoming call vibration feature "
"4944"," dont know    disconnects automatically   device "
"4945"," product doesnt work anymore  cant even turn   "
"4946"," good item great sound quality   good bass punch "
"4947"," worthy earphone noise cancellation  poor sound quality  cheap "
"4948"," good product   price  mesmerise  experiance  bass sound "
"4949","sound quality goodnoise cancellation averageoverall good   price "
"4950"," battery  awesomesound quality  finewroth  money "
"4951","awesome experience nice product backup  also good "
"4952"," perfect match   price range   must buy "
"4953"," good sound quality  good battery backup "
"4954","purchase   january    stop working "
"4955","battery life  goodsound quality  decent "
"4956"," got   price    worthful  money "
"4957","best  money "
"4958"," one month  use right side became  unserviceableno sound  right side "
"4959","  getting disconnected automatically   ownand   comfortable  "
"4960","audio quality  awesome   price great bass  yoyr audio hd clear sound "
"4961","audio quality  awesome   price great bass  yoyr audio hd clear sound "
"4962","best bluetooth headset  sound quality  goodwe  connect  device   time "
"4963"," design could   better  sound quality  really nice   price "
"4964","  much sound  good   adequate according  price  brand name  "
"4965","  h  useful product   provide  manny many satisfaction   user "
"4966","best headphone   range "
"4967"," bad "
"4968","superb quality "
"4969"," buying  within  days  started  problem "
"4970","stopped working   months "
"4971"," working good  "
"4972","   breaks  connectivity "
"4973"," earphones  stopped working   disconnecting continuously "
"4974","good missing vibration "
"4975","one side ear bud  working please replace  warranty "
"4976","    bad product please dont buy  "
"4977","worst products   ever seen stop   working  use   daytooo bad "
"4978","warranty  claimed "
"4979","recommended purchase "
"4980"," product  best   price segment "
"4981","   light weight  easy  carry "
"4982"," worth  money  value  money "
"4983","sound quality good  battery life poor "
"4984","nice sound gud quality  one thing battery backup   good "
"4985","sound  built battery   quality super "
"4986","one   best headphone  price range "
"4987","right side speaker  working   days "
"4988","  good quality  soundand  better  equal  jbl "
"4989"," product    gym usenot whole day using products "
"4990","awesome product  good bass  fall  love wit  earphone "
"4991","awesome product  good bass  fall  love wit  earphone "
"4992","good product  purchased  good price "
"4993","awesome product wonderful sound quality go   "
"4994","premium   price range  battery life   good "
"4995","almost best item   price   outdoor phone conversation getting disturb "
"4996","sound quality  superbbattery life  goodworth product "
"4997","nice earphone good bt connectivity  battery backup also good "
"4998","stopped working sound  breaking pls guide      "
"4999","awesome product worth  price   sound quality   amazing "
"5000","noise cancellation   poor  ordered  pairs    problem "
"5001","  cheap chinese product  bass   volume  slow even  high sound "
"5002","sound quality  flybot wave wireless earphones  goodbut  good   earphone connectivity  also good  middle  playing songs automatically song  intermittently music play disconnected  also connected   disconnected  connected  using  bluetooth    metreand also company written   box bluetooth transmission  range   metre   disconnected   show   photo   stopped  also fitting   poor   jumping jacks dance  adjusted  earphones everytime also     running  earphones   perfectly fitting  also change buds  nothing happens  problem produced  also  one pair buds  one bud  small   one  big   show  clicking photo comfort soft  lite  weight   main problem  poor fittingand connectivity "
"5003"," china product "
"5004","  awesome purchase   mike doesnt quite cancel  surrounding noise  wellthe  person   call  hears  much   liking  well   playing music  bass isnt  greatbut good enough   pricing "
"5005"," put  full volumesound wasnt clear enough     bit  screeching sound  came alongindeed     day  got  product deliverednot  good "
"5006","sound quality  goodconnectivity problmnot comfortable "
"5007","worst product "
"5008","   great quality product sound  perfect  good  use bass  perfect must buy    low price  good  use standard onefabulous "
"5009","nice productsound quality betterbluetooth connectivity goodbest comfortable   headed phonedont worry purchase   soon  possible "
"5010"," got      range    good productsond quality clearcalling quality  clearbattery back     levelover   fantastic   price rangeyou  go   "
"5011"," product   lightweight   good   amazing product   recommend  product  everyone  buy "
"5012","overall good product   pricewith good build quality  sound qualityu cannot expect   thisthankyou "
"5013","  searching   typ  wireless earp since long time  main purpose  call clearity     gamer   pubg alsothis earphone  superbhh   price segment   comfortable  great audio  connectivity experience without  sound lag  game  call  m  happy u  try   fear   long   work coz    new product  market   m little bit afraid well lets see overall u  go   without fear "
"5014","first thing first    bass    shrill treble bluetooth connectivity breaks  beyond  meters   falsely claimed     range  meters absolutely  proof   supporting bluetooth version   claimed   website  chinese product   lot  exaggerated claimslast    least  headphones    poor  ear grip  keep falling  despite  extended   ear additional support changing  earbuds also doesnt help solve  problemreturned      ordinary headpu  couldnt provide  real listening pleasure "
"5015","  one word say  amezing best experience sound quality  good  perfect ear fitits budget bluetooth earphones price   good "
"5016","value  money "
"5017"," worth buying flybotits sound quality  superbi highly recommend itgo   "
"5018","   good quality headphone    sharp noise "
"5019","  buy  product even  nice discounts offered  got cheated    rupees  one  bluetooth earphone  extremely defected   couple  weeks  phone kept repeating volume maximum despite       earphone  causing disruption   phone unable  play properly   charges   simply stopped working altogether dont waste  money   product "
"5020","sound quality  nearly good    bass loversyeah  sporty earphonebattery life  nearly good overall good bluetooth budget earphone "
"5021","nice product easy comfort grip sound quality  good  got    lightning dealamazing product   price range bluetooth seamless connectivity  "
"5022","good sound quality  less price "
"5023","amazing   prize im giving  full mrks   think   improve  sound quality otherwise  mind blowing thnk  flybot thnkyou amazon  yss  guys dnt worry  u  one yr warranty  well  u  replace  return  product    scare  much  catch  deal     relly gonna make u feel bettr "
"5024","amazing sound quality along   bass    sound range   high  cant listen  full volume "
"5025"," worked great   week  thenthe sound quality  dropped like one day   bag   wire   even broken  twisted   sound quality isjust gone    sides ridiculous  "
"5026","   good product   price   bluetooth connection   weak   disturb  song "
"5027"," earphones  water resistant  control stick    stop working  soon   tiniest bit  sweat reaches  plus   useless  youre sprinting    high intensity activity  control stick  place   unbalanced manner  causes  right earpiece  slip  slowly "
"5028"," got   first time  earpiece  broken  kept falling   returned    second time  bluetooth connectivity  horrible  kept disconnecting   minutes  expected  much better   company never replied  warranty either "
"5029"," product  good    require headphones  call purpose noise cancellation  ok   great bluetooth connectivity  instant  battery life  also good overall  good product "
"5030","delivered quickly product  good   sound  good compare  others "
"5031"," good sound clear voice battery  hours   happy  product "
"5032","value  money "
"5033"," price   reasonable  sound quality   good   bass  also  goodit  also  comfortable probably  best earphone    low price "
"5034","satisfied    paid "
"5035","sound quality   like expectednoise cancellation  wellbluetooth connectivity  hardly  meters "
"5036","product  good  use  per  price "
"5037","bluetooth connectivity range   good  bass level feel  volume till point  mx player   fell like noisyso   avg products   pricebattery backup  sufficient "
"5038"," first  days   working perfect sound clarity  good   comfortable  wear  morning jog  th day    getting switched    cant return    day time period  done "
"5039","one word awesome  meets  standards happy   one "
"5040","  bought   last weekand    frank  really awesomesound quality  like   personal theatretoo clear   enough "
"5041"," nice product got    special price  rs    nice bass overally product  awesome "
"5042","value  money "
"5043","  good productbut sound  little bit low bass "
"5044","super cool purchase "
"5045"," using    even   week      rigousous use  earphones  beginning  come   holder really dissatisfied  disappointed   quality "
"5046","definitely noise cancellation   good sound clarity "
"5047","sound quality   good  frequency range  bluetooth   good  sometimes mic   working overall sound quality  perfect "
"5048","product  good   durablethe best quality   sound   designthank  flybot teamon time delivery "
"5049","nice productquality soundmy experience  good vid itcompletely satisfiedworth every petty "
"5050","received  product  time  gifted    brother good sound quality   price range "
"5051","good   "
"5052"," bought   rsliked  builtbut bass     mark battery backup  play back   ok  normal userfits good    music especially bass lovers "
"5053","quality  product    much good bass  low   like  bt  fan   product  low budget walo ke liye   ok ok product hai "
"5054","sound quality   mind blowingthis product  value  moneythis bluetooth earphone    beast "
"5055","happy  buy  product "
"5056","nice "
"5057","good   easy use "
"5058","good built qualityhigh durability  worthy  every penny "
"5059","nice sound quality  easy  use comfortable  ears "
"5060"," good  ears "
"5061","nice product "
"5062","bluetooth frequently disconnect sound  poor quality poor "
"5063","one   best purchase  expected sound qualitynoise cancellation  even  built quality awesome "
"5064"," inbuilt battery sucks  need  recharge every hour even     use   hour  need  recharge  "
"5065","grab  earphonevery well designed  liked itnice sound "
"5066","ekdum bakwaas "
"5067","     fine    let  know   find anything "
"5068","material used  totally plastic  makes  less durable  keeping  price  mindits ok also sound  average "
"5069","bluetooth    poor "
"5070"," sound output  greatvery comfortable  noise cancellation "
"5071","good sound n basenice     stylish  "
"5072","gifted    little brother   loved  got    deal price "
"5073","nice sound quality easy bluetooth connectivity "
"5074","overall product quality  good   price "
"5075"," bas "
"5076","quality  product   good  sound  amazing  noise cancellation bluetooth connectivity  good "
"5077","good bluetooth earphones   price range  needs  lot  improvement  sound quality "
"5078","nice n clear soundgood base tooworthable purchase "
"5079"," roduct  good  small everyday usebut using    hour      burden  uour headreally uncomfortable   "
"5080","nice   price "
"5081"," good "
"5082","high quality soundprice  rangebuy  "
"5083"," earphones  loud treble  high bass  average  recommended  bass lovers  sounds like  much  noise "
"5084","noise cancellation  described  good packing "
"5085"," good  satisfied product "
"5086","overall product  much satisfyingbest purchase "
"5087","dispointednot parfect  music loversound clearty poor "
"5088","  working "
"5089"," good   cant conversation   always  noise  calling "
"5090"," loved  "
"5091","bluetooth connectivity sound quality superbattery  good "
"5092","nice product  decent sound quality bluetooth connectivity  also good "
"5093","good product considering  price    comfortable "
"5094","   go   without thinking "
"5095"," feeling much comfort  build quality "
"5096","  handy   sound  also clear "
"5097","  good purchase  must say "
"5098","go   "
"5099"," right sight   ear   working "
"5100"," product  worth  price "
"5101","good really "
"5102","good one   price segment "
"5103"," gud product "
"5104","good "
"5105"," effective  per price "
"5106","good ear phone "
"5107","waste  money "
"5108","  comfortable "
"5109","amazing "
"5110","terrible bass "
"5111","awesome item "
"5112","awesome "
"5113","sound  quality   fine     bass   song   definitely  drawback    using  earphones   purpose   fitness  gym  running "
"5114","liked  one "
"5115","sound clarity  bad nmit filter  earphones "
"5116","best headphone   price range battery backup  also  mentioned  range  bluetooth  decent  sound quality  premium "
"5117","awesome sound qualityvery comfortable  battery backupat   cool price  say best   pricehighly recommended "
"5118","great sound qualityperfect bassvery light weight product  soothing feel   ears even  long use "
"5119","  really  nice bluetooth headphones   using  everywherein gymwhile travellingsuch  stylish headphones  great bassgreat qualitytotally worth  "
"5120"," nice experience   wireless headphones best   price range bass  sound quality  awesome recommend headphones "
"5121","  quite amazing   price pointi got better   expectedthumbs uplooking forward    products "
"5122","    helpful product  long battery life  best sound ever best combo  sound  noise cancellation "
"5123","worth  price bluetooth connectivity  excellent charge  pretty good good sound quality  bass  superb "
"5124","im  happy   stereo headphone  big point    wireless features bass  sound quality  good "
"5125","awesome product   price rangei like  sound quality   battery backup "
"5126","good product  using     everything  sound bluetooth connectivity noise cancellation works well value  money "
"5127","nice bass headphones   comfortable also soft  smooth cushions     pain  ears  continuous listening "
"5128","excellent bass  sound quality   doubts  using   one   best headphones   price range "
"5129","great sound qualityperfect bassvery light weight product  soothing feel   ears even  long use "
"5130"," justifies  name great bass great sound quality great build qualitygreat headphones   price range "
"5131","one   best product  sound quality  really good  also comes  one year warranty worth every penny "
"5132"," volume  bass quality  superb also   high range bluetooth connectivity "
"5133"," volume  bass quality  superb also   high range bluetooth connectivity "
"5134"," product  awesome  bass  superb  recommend  product  everyone "
"5135","wonderful experience nice headphonesvoice  good along  handling "
"5136"," great deal  great pricesound  amazingquality  good  price "
"5137","super product "
"5138","   good headset   price range  sound quality  decent  comes   nice little box  accesories  extra ear plugs  wires dont tangle   dont   uncoil  everytime  use themprosextra ear plugsgood build qualitysweat proofbattery life  decent lasts  hours   full chargeconssound quality  good   greatnoise cancellation isnt  bestno bass "
"5139","   using  earphone since past  week must say   best   price range best suggestion  someone whos looking  bluetooh earhone   price range im listing  pros  cons    wantpros sound quality  noise cancellation   expectation bluetooh conectivity  fast charges quickly  hardly takes   mins charge charge last    hrs  continous users  moderate users  would last  hrs depending upon ussage good quality  earbuds  fits perfect  ear  wont hurt  continuos usecons connectivity  wont last longer tha  mtrs fits slight loose  ear    small ears like  havenotehavent checked  water resistivity yet     routine  earphone  resistive  slight swet "
"5140","keeping  cost  mind   amazons tag   promise  bought  product  uts   week since      review   productthe initial impressions   product  good   build quality feels solidit packs   usual stuff  includes ear tips   thingsthe design   product seems good   nice fit  helps    exercises   usewater resistant  sweat resistance functionality adds   usage   product  various conditionscoming   performance  definitely  good   decent bass   clarty  goodcoming   cons  dont feel   many   bass might   issue   people  use  high bass  thankfully thats   issue  meoverall  worthy product "
"5141","  worth  buy  got issue   one month  purchase date one ear sound stopped suddenly please dont waste  money   product "
"5142","    battery power best  bass sound "
"5143","dont buy  productafter  days  power   lostand    run "
"5144","   great product also great  price  spund quality  better  competition   price range "
"5145"," battery life  pathetic one moment  shows  ten minutes later  started beeping   ear    low power two minutes later  got switched  "
"5146","pathetic product  say  least  fitting     proper    worth      usp     quality   good   going  return  product  "
"5147","nice bluetooth earphones good  music  well  phone calls sound  nice  crisp dont expect  much bass   price hopefully   last  years "
"5148","great deal "
"5149"," product doesnt meet  parameter  bluetooth range  mit hardly covers  tom "
"5150","really loved  product awesome sound complete value  money product  looks good  great sound  doesnt hurt  ears   totally satisfied   "
"5151"," bass  good everything ok "
"5152","good product  issue  bluetooth connectivity distance  quite less "
"5153","amazing sound quality  good battery life  even good  managing calls whats  needed   price range satisfied purchase "
"5154","value  money "
"5155","supervalue  money "
"5156"," full charge  gives around  hrs  playback time   kind  ok "
"5157","  good within  price range "
"5158","good "
"5159","sound soso   dynamic   bad  poor bluetooth connectivity "
"5160"," "
"5161","cheap earphones   flat  cause  lot  pain stay away "
"5162","   cheap chinese product  sound  connectivity  also  good one side   earphone stopped working  one month  use "
"5163","trouble connecting    device  previously paired  another design    appears   image shown  simple rubber wire "
"5164","great sound "
"5165","third class devive "
"5166"," product quality      mark "
"5167","value  money "
"5168","considering   price sound quality   good although bass    prominent clarity   good battery  backup  good  connectivity  open placeroom  good one problem    comfortable  ear  longer period   time    recommended "
"5169","got  delivered promptly  nextm distance   correctproduct build   good  sound quality  awesome "
"5170","  good enough product   price range   good battery life  somewhat missing   product "
"5171","sound qaulity poor cant play  high volumebluetooth    poor range "
"5172"," far  favorite purchase  amazon  loved  product  design   comfortable  use  nicely attaches  grips  ears without  discomfort great sound quality good battery life seriously  love   much close  eyes  buy  product "
"5173"," bad product  bluetooth keeps disconnecting  cannot pair  google assistant  make calls  signal disrupts  talking due  poor bluetooth connectivity "
"5174","sound quality    poor "
"5175","   days  stopped working pathetic product worse part   customercare   responding "
"5176"," thing   highly bothering     battery goes    keeps saying battery low  regular intervals constantly   ears doesnt shut   one reminder    switch   rather  keep enjoying  music  call till  get home  put   charge highly irritating "
"5177","almost good "
"5178","product   advertised managed  survive  workouts excessive sweating  even  slapshot  rain  qualms    microphone  wants  catch everything around except    voice  call otherwise overall great purchase "
"5179","connectivity "
"5180","overall good "
"5181","sound quality "
"5182","satisfied "
"5183"," earphones   good quality  looking  earphones  budget  tried boult space    much better  bass  per  name  perfect  vocals  also clear  overall  sound  pretty good compared  boult space    hear  bass   vocals   thing   didnt liked   distortion  full volume   much volume   safe  human ear  better experience keep  volume   ratings   bass  vocals  fit  bluetooth range  battery   "
"5184","really disappointed    deep bass effect  mentioned    delay  voice   video timing   really  annoying built quality  ok ok sound quality    greatbut could   better   pricei  fooled   positive reviewshope  review  help many  "
"5185","pros good  comfortable  fit  eliminates noise well  excellent delivery speedcons  average sound quality  poor mids  highs "
"5186"," sound quality  nice   rate  problem    battery  half n hour  came         started saying   battery    within one minute   headphones got switched    extremely poor performance   battery moreover   indicator    battery  charging   red colour  turns  blue colour     auto cut      never know    fully charged    waiting   sales services since     year warranty    see    fast   services  sales  update   update comes   manufacturer "
"5187"," approx  month  use   writing review   productbuilt quality  fine sound nice base  really nice battery backup     shown   description  m connectivity easy  carry  exercise noise cancellation works wellthank  "
"5188","worst quality  bad audio latency  audio delay "
"5189","dislike local chinise "
"5190","ear piece   heavy  comfort  ear   fells  easily sound bass   low    ot meet expectation compare   price  ill  buy     company im surprise   buyer  give   big faults    bought  product  viewing comparing  making decision  buy     worried   wrong decision "
"5191","sound quality   good noise cancellation  also superbit gives perimum look built quality  greatbest branded budget headphone "
"5192"," received  product  early  per given time   quality   fabulous  amazingnever expected  good bass    low price    easily compared   big brands  "
"5193","sound  good butthe cord  small   product   balance     switch  one sideit comes   ears easilyzero comfort level "
"5194","wonderful experience nice headphonesvoice  good along  handling "
"5195","good product  good price "
"5196","first    sound clarity   headphone   perfect  bass  also good  loud   battery backup   headphone  fine "
"5197"," connectivity  really really bad sound  good loud  clear  connectivity    important feature  thats really bad "
"5198","    great headset    bit  noise cancellation   bass  also great   say   totally worth  money "
"5199"," product   perfect   price rangebetter  expected sound quality  decentbass     markmaterial  sturdy  strong "
"5200","im using since  weeks     much satisfied   productdecent sound quality "
"5201"," bluetooth headphone works awesomethe passive noice cancellation  pretty good overall  liked  product  "
"5202"," time delivery  nice packaging box sound quality  good  per  price "
"5203","within  month  purchase hardly  usage left ear speaker  dead  sound  tried calling customer support   couldnt get  really  unhappy   product "
"5204","using  headphones  day    vocals  clear  bass  good best  price product "
"5205"," good poor sound quality "
"5206","good n clear sound must buy product easy  carry everywhere "
"5207"," bass  sound clarity   awesomevery comfortablecall clarity  also good "
"5208","amazing sound quality   price  quite hard  get "
"5209","must buy sound clarity  goodvalue  money "
"5210","good bass  sound  low price "
"5211","clear sound good basestylish  completely satisfied vid  "
"5212"," nice product  awesome sound lovin  "
"5213"," think suitable   price bass wellsound loundbutcomfort  goodat  price   think  worth  "
"5214","im  love   earphonegood experience   comfort "
"5215","clear sound qualityexcellent baseeffodable price  "
"5216","sound clarity   good  bass effectthis  made  china amazon showing  india "
"5217","really like  bass  sound quality   price "
"5218","good sound quality  super battery life "
"5219","go  itsound  awesome "
"5220","  price   good buy "
"5221","superb deep bassarrived  time "
"5222"," handy "
"5223"," piece  stopped working dont know   go  "
"5224","nice sound quality "
"5225","  using   nearly  days nowgot  good deal  amazonreally good sound "
"5226","awesome sound quality   comfort "
"5227","super bass  amazing sound quality "
"5228","superb bass probably  best   price range absolutely impressive "
"5229","totaly fakemy left side sound  work properly  base also  work "
"5230","good sound "
"5231","many problems   product "
"5232","feet   ear "
"5233","good "
"5234","good product   price "
"5235","product  good "
"5236","good "
"5237","    use wired earphones   given   situations    wire  get   way    working outside   results   accidently ripping      earshence  decided   try   wireless  see    praise       research  decided       pros  cons list   shoppers considering  itemprosit comes  plenty  extra ear piecesbattery lasts  long timeit includes good packaging toowire around back  neck prevents earbuds  falling  groundthe magnet holds earbuds together    usesound quality  actually quite goodthe contols  good   buttons feel tactile toouseful buttons  performing certain tasksnoise cancelingsweat proofquite inexpensiveconssyou   charge    obvious   still  negative  compared  wired versionsafter    tried many  wireless earphones    changed  mind  going wireless  good product overall "
"5238","good "
"5239"," happy  buy  productgood quality  everything  awesome thanx amazon "
"5240"," per expectationvery nice productand amazon delivery   fast product arrived   next day within  hrs "
"5241","worth  price bluetooth connectivity  excellent charge  pretty good good sound quality  bass  superb "
"5242","one   good bluetooth earphones   ever usedthe sound quality   good  extra bass  treblethis product  value  money  suggest   buy  product "
"5243","earphone  really good battery backup  great sound quality  amazingbluetooth connectivity  also good   connect    laptop   phone really  nice product "
"5244","  amazing product   prize  sound bass   amazing  battery  also amazing  charged    week   working  week  love  product "
"5245","awesome sound qualityvery comfortable  battery backupat   cool price  say best   pricehighly recommended "
"5246","    good quality product   low price   comfortable works  day   feels good    good quality indian product "
"5247","    great headset    bit  noise cancellation   bass  also great   say   totally worth  money "
"5248","sound quality   good noise cancellation  also superbit gives perimum look built quality  greatbest branded budget headphone "
"5249","    helpful product  long battery life  best sound ever best combo  sound  noise cancellation "
"5250"," use  earphones regularlyand    comfortable  thissound quality  awesomelong battery life "
"5251"," love  product  bass quality  really great    best headphone  low budget "
"5252"," happy  buy  productgood quality  everything  awesome thanx amazon "
"5253","  really good quality headphone  highly recommend buying  "
"5254","awesome product "
"5255","deep bass huh dont get fooled pls dissappointed   bass seriously "
"5256","happy   sound quality  battery life "
"5257","  happy "
"5258","value  money "
"5259","nice product "
"5260"," product  per  quality   priced around  max sound quality  good external noise   minimized however  packing  good  extra ear buds also come   product "
"5261","good magnetic noise bluetooth earphones  good price "
"5262","purchased  along   similar looking product  sound quality  better   brand product sound quality  satisfactory "
"5263","looks great gifted    brother  cant stop using  decent battery life  "
"5264","excellent sound quality happy   "
"5265","   typical lets make  fool   indians product      foolish indianhere    facts   product   made  china like every  indian product     streets  shenzhen   find  product  less  inr   tops   price  would     star product    inr      pathetically low quality product    gone  quality controllets see    wrong   product  biggest flaw    jokers  packaged two earplugs  whatever   called   one side   headset    mean see  attached photo   two ear plugs  go   right side   headset two putting   clearly theres  earplug   left speaker   headset     problem   plastic material   headset   slippery    impossible   headset  stay   ears putting   clearly without  rubber earplugs  headset keeps slipping   ear   possibly slip   every  ordinary human beings earsissue   controller     onoff  volume control buttons   heavy  without  rubber paddings ear plugs mentioned earlier  headset keeps slipping offissue    driving   jogging     typical indian public transport  rattles    last bone nope  cant use  headset    keep slipping    earsso  didnt  return      typical indian  likes   made  fool   indian companies   lazy   didnt want  wait  amazons pick  person  come anytime  suits   call   say    pick     day   convenienceoverall  lost inr     typical indian fool  wants  use modern products  hopes wishes  prays   indian company  make  available      spend  hard earned money  get   product    stead gets   plastic casing   high pricebottom line dont buy  piece  junk  wasted  money   shouldnt "
"5266","everything  perfect   pricegood bassit fits perfectly  ears without  discomfortimpressed   quality nd sound "
"5267","   first purchase   companyso    bit hesitantbut  must saythese   best   class bought    husbandsound quality   good  magnet  ear plugs makes   easy  stay around neckonly setback isi m unable  fit  extra rubber covers  itbecause   seem    left ear  wellthats   big issuewill soon find  way   hope  overallthese  worthgo   "
"5268"," instructions     connect   phone     idea  features  plasticky  cheap quality   controller  bought    shape   earphones  thats   element  liked returning  "
"5269","right ear  left ear audio ratio   proper "
"5270"," sound quality bass composure   perfectthe colour   product quality   robustit  stand    hours  single charge  provides awesome music experience "
"5271","sound quality  excellent     first order  amazon  im  happy   order thanks amazon  "
"5272","good look  sound   bad  low noise  low sound  quality     full valume  pain  earso   good product "
"5273","build   central control  poor easily comes apart  sound  good   earphones basically   work   days  use "
"5274","voice  breaking voice quality   bad "
"5275","pathetic battery backup bluetooth pairing keeps  going      product  buy "
"5276","  product   comfortable  use reason    grip  moving    automatically discounted bluetooth connection need  reconnect every time battry back      mark "
"5277","battery   good  expected "
"5278","wow   design  build   liked  box packing    like  premium one   thus  using   half  week  really enjoying  sound quality  wireless headphonesreasons  buy  wireless headphonesare stereo  sweatproof  build quality  sound quality   promising design  weight less  bass     everythingits  must buy headphones  please buy     buying onewith bluetooth version "
"5279","amazing sound quality bass  superb  feels  good listening songs   stylish design  magnetic effect battery backup  also good   lasts  long hours "
"5280"," gifted  bluetooth headphones   mom    loves music   always doibg something    could   great help  wireless   loves   battery life us great also  colour  awesum  sound     mark   product looks promising "
"5281","quality  sound clarity   goodbass  also good  nicebattery life  also gooddefintely   buy  hearphone "
"5282","   prime customer  amazon   always purchase  product   much research bought  bluetooth earphones recently  trust    blown away   price   awesome sound quality  battery life seems good  tested   described   update soon durability  perfect fit  pain  discomfortreally ptron  done  fantastic job  amazing music quality  superb bass   highs mids  lows   go   "
"5283","  really impressed   headsetit takes   hours  charge  working time   hours  hours  standby time  speakers  totally fine  frequency  hzkhzi got one     black colour  "
"5284","good product  budget friendly price work well along  equaliser settings  per  music comforti  satisfied  product  enjoying   "
"5285","purchased  headphones  amazon   timely delivered ive  using  headphones   week  heres  review pros  sound quality  crisp  high mid  low bass notes  clear  headphones  loud enough given    intheear headphones  still need  keep volume  around    really think loudness could differ  one mobile phone  another battery  ok  guess    first bluetooth headphones  wont  able  compare  fully charged   use headphones   hrsconsonly  earbudstips need  improvement  slip  easily    cant think   pointsregarding durability cant comment   point  time "
"5286"," nice product sound quality  awesome good fitting inside ear battery backup  approx  hours best piece  tech   price range "
"5287","really loved  product   recommend   everyone  product looks fancy yet   expensive  opted  grey color   two variants  equally appealing takes negligible time  connect  server sound quality   good   magnet provided   back  ear plugs makes   handy  carry battery life  also good plus  noise cancellation  also effective overall    good product worth  price  one  go   "
"5288","  really great sound quality  noise cancellation  also good  give  hrs  battery backup   single charge  love  product "
"5289","best wireless headset   budget good quality   price sweatproof wireless stereo headset  easily chargable  good battery life   year warranty  voice  really good "
"5290"," comfortable  wear    provided ear rubber fittings  stays  even   run jump  shake  head battery life   expected   size  battery easily lasts     hrs continuous playing  problem   ever  connecting  sound  pretty decent good bass "
"5291","got  today really loved  product awesome sound   thinking  buy  airpod   friend suggested     spend  much   ordered    really  amazing  looks good  great sound  doesnt hurt ua ears   totally satisfied    couldnt say  battery    got  today  "
"5292"," product  surprisingly good  thought   price  functioning   basic    included volume keys  audio quality  noise cancellation  also satisfactory   battery backup   low im  getting around  hrs backup  using calls also  starts saying low battery please charge   charge    repeatedly making  literally unusable "
"5293","  excellent bluetooth earphones  expected  sound  clear   music  videos  phone calls  caller   heard  clearly  well   caller  hear    disturbances also along   ear  plugs     chances  sliping reduces   best   travelling    bluetooth earphones along      getting charging wire  main benefit      getting  year warranty   "
"5294","good product   price range   love   easy   long lasting    using    days  seems everything find  good sound quality   "
"5295","main thing  like  design    simple whole earphones   light weight  ull  feel  anymoresound quality  awesome  got    hrs battery life  mentioned   boxvalue  money "
"5296","loving  superior lightweight design  ptron headset  makes  easy  wear  long hours    modern inear sweatproof sports bluetooth wireless headphones  mic  volume controla perfect headset    carry anytime anywhere "
"5297","volume level   low  suitable  outdoor usage  music    use wired headset   "
"5298","blue tooth earfon   comfortable  use     light  weight  sound quality  excellent battery life  good  product  worth  price  sweat friendly  sporting  gyming "
"5299"," sound quality   earphones   great loving  base also  battery life   long    travel  whole day without   worry  charging themthey  easy  carry around  great  maintain  love   "
"5300","  using    month  running good audio quality bass    good   beats  fine excellent product   price  built quality  also good must buy     budget wont regret "
"5301","best product   price range  good bass  fine   clear sound quality  call handling also goodbuilt material  nice  sturdy long battery life  good bluetooth range  great noise cancellation  overall  thumps  "
"5302","received  yesterday  awesome    price range  really value  money jbl provides   product  k sound  verily crisp  clear  decent bass "
"5303"," sound  much impressive  bass  also good   bought    gym  enjoying  much battery  also good  must try  "
